time, obj Fun
79.19988059997559,13711959.014298512
108.87618923187256,11423610.572020566
313.40106534957886,10372760.275285682
429.9758241176605,18707693.435610224
537.9813807010651,11909678.367369922
202.3102900981903,19721555.40120207
216.0702588558197,13755282.752331669
211.706374168396,17602593.567324277
161.35448217391968,15093359.353146309
112.8204140663147,19291213.005878642
255.08295488357544,10724982.94586824
293.2795629501343,17823914.80009038
150.669100522995,21394552.905756164
109.63382720947266,9639729.704238793
105.41527152061462,11571740.58390306
301.2047140598297,15976769.405900579
133.33330607414246,11832871.22093281
165.74055433273315,12124559.136209978
204.57680940628052,19599925.18679437
351.6605682373047,20714688.32182981
